INFO 2025-06-17 03:55:05,154 autoreload Watching for file changes with StatReloader
INFO 2025-06-17 03:55:35,712 basehttp "OPTIONS /api/users/?role=teacher HTTP/1.1" 200 0
INFO 2025-06-17 03:55:35,713 basehttp "OPTIONS /api/users/?role=student HTTP/1.1" 200 0
INFO 2025-06-17 03:55:35,716 basehttp "OPTIONS /api/subjects/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:35,720 basehttp "GET /api/users/ HTTP/1.1" 200 236
INFO 2025-06-17 03:55:35,752 basehttp "GET /api/users/?role=teacher HTTP/1.1" 200 236
INFO 2025-06-17 03:55:35,760 basehttp "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:35,760 basehttp "OPTIONS /api/subjects/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:35,765 basehttp "GET /api/users/?role=student HTTP/1.1" 200 236
INFO 2025-06-17 03:55:35,788 basehttp "GET /api/users/ HTTP/1.1" 200 236
INFO 2025-06-17 03:55:35,789 basehttp "GET /api/subjects/ HTTP/1.1" 200 104
INFO 2025-06-17 03:55:35,826 basehttp "GET /api/subjects/ HTTP/1.1" 200 104
INFO 2025-06-17 03:55:36,793 basehttp "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:36,795 basehttp "OPTIONS /api/users/?role=teacher HTTP/1.1" 200 0
INFO 2025-06-17 03:55:36,825 basehttp "OPTIONS /api/users/?role=student HTTP/1.1" 200 0
INFO 2025-06-17 03:55:36,826 basehttp "OPTIONS /api/subjects/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:36,829 basehttp "GET /api/users/ HTTP/1.1" 200 236
INFO 2025-06-17 03:55:36,831 basehttp "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:36,833 basehttp "OPTIONS /api/subjects/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:36,843 basehttp "GET /api/users/?role=student HTTP/1.1" 200 236
INFO 2025-06-17 03:55:36,843 basehttp "GET /api/subjects/ HTTP/1.1" 200 104
INFO 2025-06-17 03:55:36,876 basehttp "GET /api/users/?role=teacher HTTP/1.1" 200 236
INFO 2025-06-17 03:55:36,896 basehttp "GET /api/users/ HTTP/1.1" 200 236
INFO 2025-06-17 03:55:36,911 basehttp "GET /api/subjects/ HTTP/1.1" 200 104
INFO 2025-06-17 03:55:37,747 basehttp "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:37,755 basehttp "OPTIONS /api/users/?role=teacher HTTP/1.1" 200 0
INFO 2025-06-17 03:55:37,758 basehttp "OPTIONS /api/users/?role=student HTTP/1.1" 200 0
INFO 2025-06-17 03:55:37,761 basehttp "OPTIONS /api/subjects/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:37,777 basehttp "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:37,779 basehttp "OPTIONS /api/subjects/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:37,789 basehttp "GET /api/users/ HTTP/1.1" 200 236
INFO 2025-06-17 03:55:37,797 basehttp "GET /api/users/?role=student HTTP/1.1" 200 236
INFO 2025-06-17 03:55:37,802 basehttp "GET /api/users/ HTTP/1.1" 200 236
INFO 2025-06-17 03:55:37,809 basehttp "GET /api/users/?role=teacher HTTP/1.1" 200 236
INFO 2025-06-17 03:55:37,853 basehttp "GET /api/subjects/ HTTP/1.1" 200 104
INFO 2025-06-17 03:55:37,875 basehttp "GET /api/subjects/ HTTP/1.1" 200 104
INFO 2025-06-17 03:55:38,685 basehttp "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:38,690 basehttp "OPTIONS /api/users/?role=teacher HTTP/1.1" 200 0
INFO 2025-06-17 03:55:38,694 basehttp "OPTIONS /api/users/?role=student HTTP/1.1" 200 0
INFO 2025-06-17 03:55:38,694 basehttp "OPTIONS /api/subjects/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:38,695 basehttp "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:38,695 basehttp "OPTIONS /api/subjects/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:38,700 basehttp "GET /api/users/ HTTP/1.1" 200 236
INFO 2025-06-17 03:55:38,705 basehttp "GET /api/users/?role=student HTTP/1.1" 200 236
INFO 2025-06-17 03:55:38,713 basehttp "GET /api/subjects/ HTTP/1.1" 200 104
INFO 2025-06-17 03:55:38,780 basehttp "GET /api/users/?role=teacher HTTP/1.1" 200 236
INFO 2025-06-17 03:55:38,782 basehttp "GET /api/users/ HTTP/1.1" 200 236
INFO 2025-06-17 03:55:38,782 basehttp "GET /api/subjects/ HTTP/1.1" 200 104
INFO 2025-06-17 03:55:39,665 basehttp "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:39,666 basehttp "OPTIONS /api/users/?role=teacher HTTP/1.1" 200 0
INFO 2025-06-17 03:55:39,667 basehttp "OPTIONS /api/subjects/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:39,667 basehttp "OPTIONS /api/users/?role=student HTTP/1.1" 200 0
INFO 2025-06-17 03:55:39,667 basehttp "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:39,673 basehttp "OPTIONS /api/subjects/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:39,685 basehttp "GET /api/users/ HTTP/1.1" 200 236
INFO 2025-06-17 03:55:39,686 basehttp "GET /api/users/?role=teacher HTTP/1.1" 200 236
INFO 2025-06-17 03:55:39,687 basehttp "GET /api/users/?role=student HTTP/1.1" 200 236
INFO 2025-06-17 03:55:39,691 basehttp "GET /api/users/ HTTP/1.1" 200 236
INFO 2025-06-17 03:55:39,731 basehttp "GET /api/subjects/ HTTP/1.1" 200 104
INFO 2025-06-17 03:55:39,737 basehttp "GET /api/subjects/ HTTP/1.1" 200 104
INFO 2025-06-17 03:55:40,565 basehttp "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:40,577 basehttp "GET /api/users/ HTTP/1.1" 200 236
INFO 2025-06-17 03:55:40,579 basehttp "OPTIONS /api/users/?role=teacher HTTP/1.1" 200 0
INFO 2025-06-17 03:55:40,592 basehttp "OPTIONS /api/users/?role=student HTTP/1.1" 200 0
INFO 2025-06-17 03:55:40,598 basehttp "OPTIONS /api/subjects/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:40,599 basehttp "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:40,605 basehttp "OPTIONS /api/subjects/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:40,610 basehttp "GET /api/users/?role=teacher HTTP/1.1" 200 236
INFO 2025-06-17 03:55:40,621 basehttp "GET /api/users/?role=student HTTP/1.1" 200 236
INFO 2025-06-17 03:55:40,640 basehttp "GET /api/subjects/ HTTP/1.1" 200 104
INFO 2025-06-17 03:55:40,707 basehttp "GET /api/subjects/ HTTP/1.1" 200 104
INFO 2025-06-17 03:55:40,726 basehttp "GET /api/users/ HTTP/1.1" 200 236
INFO 2025-06-17 03:55:41,490 basehttp "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:41,491 basehttp "OPTIONS /api/users/?role=teacher HTTP/1.1" 200 0
INFO 2025-06-17 03:55:41,493 basehttp "OPTIONS /api/users/?role=student HTTP/1.1" 200 0
INFO 2025-06-17 03:55:41,493 basehttp "OPTIONS /api/subjects/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:41,494 basehttp "OPTIONS /api/users/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:41,495 basehttp "OPTIONS /api/subjects/ HTTP/1.1" 200 0
INFO 2025-06-17 03:55:41,502 basehttp "GET /api/users/ HTTP/1.1" 200 236
INFO 2025-06-17 03:55:41,515 basehttp "GET /api/users/?role=student HTTP/1.1" 200 236
INFO 2025-06-17 03:55:41,517 basehttp "GET /api/users/ HTTP/1.1" 200 236
INFO 2025-06-17 03:55:41,625 basehttp "GET /api/subjects/ HTTP/1.1" 200 104
INFO 2025-06-17 03:55:41,628 basehttp "GET /api/subjects/ HTTP/1.1" 200 104
INFO 2025-06-17 03:55:41,629 basehttp "GET /api/users/?role=teacher HTTP/1.1" 200 236
